DATAFLOW,LAST UPDATE,freq,deg_urb,levels,age,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:ILC_LVHL01(1.0),27/10/21 23:00:00,A,TOTAL,GOOD,Y18-64,T,LT,2019,48.7,u
ESTAT:ILC_LVHL01(1.0),27/10/21 23:00:00,A,TOTAL,VBAD,Y18-64,T,LT,2019,1.3,u
ESTAT:ILC_LVHL01(1.0),27/10/21 23:00:00,A,TOTAL,VGOOD,Y18-64,T,LT,2019,9.8,u
ESTAT:ILC_LVHL01(1.0),27/10/21 23:00:00,A,TOTAL,BAD,Y18-64,T,LU,2019,5.9,
ESTAT:ILC_LVHL01(1.0),27/10/21 23:00:00,A,TOTAL,FAIR,Y18-64,T,LU,2019,16.7,
ESTAT:ILC_LVHL01(1.0),27/10/21 23:00:00,A,TOTAL,GOOD,Y18-64,T,LU,2019,49.5,
ESTAT:ILC_LVHL01(1.0),27/10/21 23:00:00,A,TOTAL,VBAD,Y18-64,T,LU,2019,1.5,
ESTAT:ILC_LVHL01(1.0),27/10/21 23:00:00,A,TOTAL,VGOOD,Y18-64,T,LU,2019,26.5,
ESTAT:ILC_LVHL01(1.0),27/10/21 23:00:00,A,TOTAL,BAD,Y18-64,T,LV,2019,7.6,
ESTAT:ILC_LVHL01(1.0),27/10/21 23:00:00,A,TOTAL,FAIR,Y18-64,T,LV,2019,34.1,
ESTAT:ILC_LVHL01(1.0),27/10/21 23:00:00,A,TOTAL,GOOD,Y18-64,T,LV,2019,51.5,
ESTAT:ILC_LVHL01(1.0),27/10/21 23:00:00,A,TOTAL,VBAD,Y18-64,T,LV,2019,0.8,
ESTAT:ILC_LVHL01(1.0),27/10/21 23:00:00,A,TOTAL,VGOOD,Y18-64,T,LV,2019,6.0,
ESTAT:ILC_LVHL01(1.0),27/10/21 23:00:00,A,TOTAL,BAD,Y18-64,T,MT,2019,1.7,
ESTAT:ILC_LVHL01(1.0),27/10/21 23:00:00,A,TOTAL,FAIR,Y18-64,T,MT,2019,14.0,
ESTAT:ILC_LVHL01(1.0),27/10/21 23:00:00,A,TOTAL,GOOD,Y18-64,T,MT,2019,59.1,
ESTAT:ILC_LVHL01(1.0),27/10/21 23:00:00,A,TOTAL,VBAD,Y18-64,T,MT,2019,0.5,
ESTAT:ILC_LVHL01(1.0),27/10/21 23:00:00,A,TOTAL,VGOOD,Y18-64,T,MT,2019,24.7,
ESTAT:ILC_LVHL01(1.0),27/10/21 23:00:00,A,TOTAL,BAD,Y18-64,T,NL,2019,4.4,
ESTAT:ILC_LVHL01(1.0),27/10/21 23:00:00,A,TOTAL,FAIR,Y18-64,T,NL,2019,16.3,
ESTAT:ILC_LVHL01(1.0),27/10/21 23:00:00,A,TOTAL,GOOD,Y18-64,T,NL,2019,52.4,
ESTAT:ILC_LVHL01(1.0),27/10/21 23:00:00,A,TOTAL,VBAD,Y18-64,T,NL,2019,0.7,
ESTAT:ILC_LVHL01(1.0),27/10/21 23:00:00,A,TOTAL,VGOOD,Y18-64,T,NL,2019,26.2,
ESTAT:ILC_LVHL01(1.0),27/10/21 23:00:00,A,TOTAL,BAD,Y18-64,T,PL,2019,6.2,
